Date,Code,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT
31-08-2023,BBCA,1792730095,71548760,332961450,1473900,4443360280,1183807749,66437292,59420800,1531100,619661071,2172725299,6114678407,3332308166,328747110,19011593318,1377287194,657743605,10885680524
29-09-2023,BBCA,1847310295,83290460,335650950,1528900,4636146893,1182177439,73829962,60467200,2373800,607395118,2140762483,6056242014,3274125056,329555910,18998318784,1373614633,659898105,10791008118
31-10-2023,BBCA,1885792095,88108960,355229250,2528900,4827689317,1213055563,71197791,64486100,2618000,598409339,2060338580,6203294185,3131329731,328972010,18976425466,1331564569,661103405,10651552859
30-11-2023,BBCA,1887976195,89293060,354436350,2528900,4875979417,1195018173,77599152,66583700,2662300,589152443,2055033623,6191231849,2970011790,329438610,19077911261,1338631940,660416705,10689790652
29-12-2023,BBCA,1837959895,81570760,339086650,2420000,4686996811,1158776788,74315344,63417000,2565200,570528341,1965624094,6261713281,3085464297,329478810,19430215297,1275814107,660589205,10627160240
31-01-2024,BBCA,1744366995,77773860,324981350,2420000,4512119696,1133857946,63011743,55138700,1061900,539486484,1874858501,6214893525,3223880963,326964910,19788046671,1184128643,662266305,10724437928
29-02-2024,BBCA,1636599895,83805190,304759850,10258600,4488808647,1007834042,61524187,57788400,2097600,559571953,1845018973,6154943975,3282928421,318978510,20055656834,1213213404,663369705,10706537934
28-03-2024,BBCA,1680921995,80592690,307900550,1715000,4589853914,926410530,57559014,56998100,2334300,573200352,1822077005,6229112589,3388474952,315113310,19964683130,1145000611,665775205,10645972873
30-04-2024,BBCA,1716414695,85558990,320324650,1715000,4735396004,1003935681,58195120,57585100,1939900,591253685,1798032304,6353259639,3179617718,315271740,19825422748,1108338522,666406505,10635028119
